"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"GO:0016303","GO:0016303","""1-phosphatidylinositol-3-kinase activity""","4","0","0","1","1",""
"GO:0046935","GO:0046935","""1-phosphatidylinositol-3-kinase regulator activity""","1","0","0","1","1",""
"GO:0000285","GO:0000285","""1-phosphatidylinositol-3-phosphate 5-kinase activity""","1","0","0","1","1",""
"GO:0016308","GO:0016308","""1-phosphatidylinositol-4-phosphate 5-kinase activity""","1","0","0","1","1",""
"GO:0052810","GO:0052810","""1-phosphatidylinositol-5-kinase activity""","1","0","0","1","1",""
"GO:0003842","GO:0003842","""1-pyrroline-5-carboxylate dehydrogenase activity""","1","0","0","1","1",""
"GO:0071889","GO:0071889","""14-3-3 protein binding""","1","0","0","1","1",""
"GO:0051537","GO:0051537","""2 iron, 2 sulfur cluster binding""","7","0","0","1","1",""
"GO:0090560","GO:0090560","""2-(3-amino-3-carboxypropyl)histidine synthase activity""","2","0","0","1","1",""
"GO:0003848","GO:0003848","""2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity""","1","0","0","1","1",""
"GO:0043334","GO:0043334","""2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity""","1","0","0","1","1",""
"GO:0003853","GO:0003853","""2-methylacyl-CoA dehydrogenase activity""","1","0","0","1","1",""
"GO:0047547","GO:0047547","""2-methylcitrate dehydratase activity""","1","0","0","1","1",""
"GO:0043333","GO:0043333","""2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity""","1","0","0","1","1",""
"GO:0008681","GO:0008681","""2-octaprenyl-6-methoxyphenol hydroxylase activity""","1","0","0","1","1",""
"GO:0016706","GO:0016706","""2-oxoglutarate-dependent dioxygenase activity""","1","0","0","1","1",""
"GO:0008425","GO:0008425","""2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity""","2","0","0","1","1",""
"GO:0051538","GO:0051538","""3 iron, 4 sulfur cluster binding""","1","0","0","1","1",""
"GO:0008441","GO:0008441","""3'(2'),5'-bisphosphate nucleotidase activity""","2","0","0","1","1",""
"GO:0004115","GO:0004115","""3',5'-cyclic-AMP phosphodiesterase activity""","4","0","0","1","1",""
"GO:0047555","GO:0047555","""3',5'-cyclic-GMP phosphodiesterase activity""","5","0","0","1","1",""
"GO:0004114","GO:0004114","""3',5'-cyclic-nucleotide phosphodiesterase activity""","6","0","0","1","1",""
"GO:0043138","GO:0043138","""3'-5' DNA helicase activity""","3","0","0","1","1",""
"GO:0097748","GO:0097748","""3'-5' RNA polymerase activity""","1","0","0","1","1",""
"GO:0008408","GO:0008408","""3'-5' exonuclease activity""","7","0","0","1","1",""
"GO:0000175","GO:0000175","""3'-5'-exoribonuclease activity""","5","0","0","1","1",""
"GO:0010420","GO:0010420","""3,4-dihydroxy-5-polyprenylbenzoic acid O-methyltransferase activity""","1","0","0","1","1",""
"GO:0106268","GO:0106268","""3,5-dichloro-THPH methyl transferase activity""","6","0","0","1","1",""
"GO:0003854","GO:0003854","""3-beta-hydroxy-delta5-steroid dehydrogenase activity""","1","0","0","1","1",""
"GO:0004028","GO:0004028","""3-chloroallyl aldehyde dehydrogenase activity""","1","0","0","1","1",""
"GO:0047560","GO:0047560","""3-dehydrosphinganine reductase activity""","1","0","0","1","1",""
"GO:0008682","GO:0008682","""3-demethoxyubiquinol 3-hydroxylase activity""","1","0","0","1","1",""
"GO:0061542","GO:0061542","""3-demethylubiquinol-n 3-O-methyltransferase activity""","1","0","0","1","1",""
"GO:0008689","GO:0008689","""3-demethylubiquinone-9 3-O-methyltransferase activity""","1","0","0","1","1",""
"GO:0003857","GO:0003857","""3-hydroxyacyl-CoA dehydrogenase activity""","1","0","0","1","1",""
"GO:0000334","GO:0000334","""3-hydroxyanthranilate 3,4-dioxygenase activity""","1","0","0","1","1",""
"GO:0008442","GO:0008442","""3-hydroxyisobutyrate dehydrogenase activity""","1","0","0","1","1",""
"GO:0003860","GO:0003860","""3-hydroxyisobutyryl-CoA hydrolase activity""","1","0","0","1","1",""
"GO:0061981","GO:0061981","""3-hydroxykynureninase activity""","1","0","0","1","1",""
"GO:0043956","GO:0043956","""3-hydroxypropionyl-CoA dehydratase activity""","1","0","0","1","1",""
"GO:0003863","GO:0003863","""3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity""","2","0","0","1","1",""
"GO:0004315","GO:0004315","""3-oxoacyl-[acyl-carrier-protein] synthase activity""","34","0","0","1","1",""
"GO:0004676","GO:0004676","""3-phosphoinositide-dependent protein kinase activity""","1","0","0","1","1",""
"GO:0051539","GO:0051539","""4 iron, 4 sulfur cluster binding""","17","0","0","1","1",""
"GO:0008124","GO:0008124","""4-alpha-hydroxytetrahydrobiopterin dehydratase activity""","2","0","0","1","1",""
"GO:0003867","GO:0003867","""4-aminobutyrate transaminase activity""","1","0","0","1","1",""
"GO:0034386","GO:0034386","""4-aminobutyrate:2-oxoglutarate transaminase activity""","1","0","0","1","1",""
"GO:0016207","GO:0016207","""4-coumarate-CoA ligase activity""","3","0","0","1","1",""
"GO:0106364","GO:0106364","""4-hydroxy-3-all-trans-hexaprenylbenzoate oxygenase activity""","1","0","0","1","1",""
"GO:0002083","GO:0002083","""4-hydroxybenzoate decaprenyltransferase activity""","1","0","0","1","1",""
"GO:0047293","GO:0047293","""4-hydroxybenzoate nonaprenyltransferase activity""","1","0","0","1","1",""
"GO:0008412","GO:0008412","""4-hydroxybenzoate octaprenyltransferase activity""","1","0","0","1","1",""
"GO:0003868","GO:0003868","""4-hydroxyphenylpyruvate dioxygenase activity""","2","0","0","1","1",""
"GO:0043139","GO:0043139","""5'-3' DNA helicase activity""","1","0","0","1","1",""
"GO:0034062","GO:0034062","""5'-3' RNA polymerase activity""","10","0","0","1","1",""
"GO:0035312","GO:0035312","""5'-3' exodeoxyribonuclease activity""","2","0","0","1","1",""
"GO:0008409","GO:0008409","""5'-3' exonuclease activity""","3","0","0","1","1",""
"GO:0002953","GO:0002953","""5'-deoxynucleotidase activity""","1","0","0","1","1",""
"GO:0017108","GO:0017108","""5'-flap endonuclease activity""","1","0","0","1","1",""
"GO:0042083","GO:0042083","""5,10-methylenetetrahydrofolate-dependent methyltransferase activity""","1","0","0","1","1",""
"GO:0043727","GO:0043727","""5-amino-4-imidazole carboxylate lyase activity""","1","0","0","1","1",""
"GO:0003870","GO:0003870","""5-aminolevulinate synthase activity""","1","0","0","1","1",""
"GO:0042084","GO:0042084","""5-methyltetrahydrofolate-dependent methyltransferase activity""","1","0","0","1","1",""
"GO:0017168","GO:0017168","""5-oxoprolinase (ATP-hydrolyzing) activity""","1","0","0","1","1",""
"GO:0004155","GO:0004155","""6,7-dihydropteridine reductase activity""","1","0","0","1","1",""
"GO:0003872","GO:0003872","""6-phosphofructokinase activity""","1","0","0","1","1",""
"GO:0017057","GO:0017057","""6-phosphogluconolactonase activity""","1","0","0","1","1",""
"GO:0003874","GO:0003874","""6-pyruvoyltetrahydropterin synthase activity""","1","0","0","1","1",""
"GO:0008312","GO:0008312","""7S RNA binding""","6","0","0","1","1",""
"GO:0140359","GO:0140359","""ABC-type transporter activity""","60","3","5","0.154097513045246","1","8619342,8620083,8623096"
"GO:0043531","GO:0043531","""ADP binding""","2","0","0","1","1",""
"GO:0043262","GO:0043262","""ADP phosphatase activity""","1","0","0","1","1",""
"GO:0015217","GO:0015217","""ADP transmembrane transporter activity""","1","0","0","1","1",""
"GO:0003875","GO:0003875","""ADP-ribosylarginine hydrolase activity""","1","0","0","1","1",""
"GO:0016208","GO:0016208","""AMP binding""","2","0","0","1","1",""
"GO:0003876","GO:0003876","""AMP deaminase activity""","1","0","0","1","1",""
"GO:0009824","GO:0009824","""AMP dimethylallyltransferase activity""","1","0","0","1","1",""
"GO:0004679","GO:0004679","""AMP-activated protein kinase activity""","2","0","0","1","1",""
"GO:0005524","GO:0005524","""ATP binding""","658","13","1.98","0.739852526882845","1","8615885,8616737,8617905,8619342,8620083,8620200,8622055,8623096,8623300,8623560,8625237,8626987,8629148"
"GO:0003878","GO:0003878","""ATP citrate synthase activity""","1","0","0","1","1",""
"GO:0016887","GO:0016887","""ATP hydrolysis activity""","97","0","0","1","1",""
"GO:0005347","GO:0005347","""ATP transmembrane transporter activity""","1","0","0","1","1",""
"GO:0140664","GO:0140664","""ATP-dependent DNA damage sensor activity""","9","0","0","1","1",""
"GO:0140663","GO:0140663","""ATP-dependent FeS chaperone activity""","3","0","0","1","1",""
"GO:0047453","GO:0047453","""ATP-dependent NAD(P)H-hydrate dehydratase activity""","1","0","0","1","1",""
"GO:0008094","GO:0008094","""ATP-dependent activity, acting on DNA""","31","0","0","1","1",""
"GO:0008186","GO:0008186","""ATP-dependent activity, acting on RNA""","30","0","0","1","1",""
"GO:0140657","GO:0140657","""ATP-dependent activity""","243","4","1.65","0.80712794557104","1","8619342,8620083,8623096,8629148"
"GO:0140658","GO:0140658","""ATP-dependent chromatin remodeler activity""","3","0","0","1","1",""
"GO:0004176","GO:0004176","""ATP-dependent peptidase activity""","3","0","0","1","1",""
"GO:0140662","GO:0140662","""ATP-dependent protein folding chaperone""","19","0","0","1","1",""
"GO:0035381","GO:0035381","""ATP-gated ion channel activity""","2","0","0","1","1",""
"GO:0140417","GO:0140417","""ATP-sensitive calcium-release channel activity""","5","0","0","1","1",""
"GO:0005471","GO:0005471","""ATP:ADP antiporter activity""","1","0","0","1","1",""
"GO:0001671","GO:0001671","""ATPase activator activity""","2","0","0","1","1",""
"GO:0044769","GO:0044769","""ATPase activity, coupled to transmembrane movement of ions, rotational mechanism""","9","0","0","1","1",""
"GO:0060590","GO:0060590","""ATPase regulator activity""","1","0","0","1","1",""
"GO:0015446","GO:0015446","""ATPase-coupled arsenite transmembrane transporter activity""","1","0","0","1","1",""
"GO:0019829","GO:0019829","""ATPase-coupled cation transmembrane transporter activity""","14","0","0","1","1",""
"GO:0042625","GO:0042625","""ATPase-coupled ion transmembrane transporter activity""","9","0","0","1","1",""
"GO:0042626","GO:0042626","""ATPase-coupled transmembrane transporter activity""","78","3","3.85","0.259200081747092","1","8619342,8620083,8623096"
"GO:0071933","GO:0071933","""Arp2/3 complex binding""","1","0","0","1","1",""
"GO:0019776","GO:0019776","""Atg8 ligase activity""","1","0","0","1","1",""
"GO:0019786","GO:0019786","""Atg8-specific peptidase activity""","1","0","0","1","1",""
"GO:0000254","GO:0000254","""C-4 methylsterol oxidase activity""","2","0","0","1","1",""
"GO:0000247","GO:0000247","""C-8 sterol isomerase activity""","2","0","0","1","1",""
"GO:0016453","GO:0016453","""C-acetyltransferase activity""","1","0","0","1","1",""
"GO:0016408","GO:0016408","""C-acyltransferase activity""","3","0","0","1","1",""
"GO:0008169","GO:0008169","""C-methyltransferase activity""","3","0","0","1","1",""
"GO:0016454","GO:0016454","""C-palmitoyltransferase activity""","2","0","0","1","1",""
"GO:0015556","GO:0015556","""C4-dicarboxylate transmembrane transporter activity""","1","0","0","1","1",""
"GO:0004662","GO:0004662","""CAAX-protein geranylgeranyltransferase activity""","1","0","0","1","1",""
"GO:0017169","GO:0017169","""CDP-alcohol phosphatidyltransferase activity""","2","0","0","1","1",""
"GO:0008444","GO:0008444","""CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity""","1","0","0","1","1",""
"GO:0003882","GO:0003882","""CDP-diacylglycerol-serine O-phosphatidyltransferase activity""","1","0","0","1","1",""
"GO:0036430","GO:0036430","""CMP kinase activity""","1","0","0","1","1",""
"GO:0097020","GO:0097020","""COPII receptor activity""","1","0","0","1","1",""
"GO:0003883","GO:0003883","""CTP synthase activity""","1","0","0","1","1",""
"GO:0043273","GO:0043273","""CTPase activity""","1","0","0","1","1",""
"GO:0016421","GO:0016421","""CoA carboxylase activity""","3","0","0","1","1",""
"GO:0016289","GO:0016289","""CoA hydrolase activity""","2","0","0","1","1",""
"GO:0016405","GO:0016405","""CoA-ligase activity""","7","0","0","1","1",""
"GO:0003884","GO:0003884","""D-amino-acid oxidase activity""","1","0","0","1","1",""
"GO:0051499","GO:0051499","""D-aminoacyl-tRNA deacylase activity""","1","0","0","1","1",""
"GO:0008445","GO:0008445","""D-aspartate oxidase activity""","1","0","0","1","1",""
"GO:0017050","GO:0017050","""D-erythro-sphingosine kinase activity""","3","0","0","1","1",""
"GO:0008720","GO:0008720","""D-lactate dehydrogenase activity""","1","0","0","1","1",""
"GO:0004750","GO:0004750","""D-ribulose-phosphate 3-epimerase activity""","1","0","0","1","1",""
"GO:0008721","GO:0008721","""D-serine ammonia-lyase activity""","1","0","0","1","1",""
"GO:0051500","GO:0051500","""D-tyrosyl-tRNA(Tyr) deacylase activity""","1","0","0","1","1",""
"GO:0003886","GO:0003886","""DNA (cytosine-5-)-methyltransferase activity""","1","0","0","1","1",""
"GO:0033699","GO:0033699","""DNA 5'-adenosine monophosphate hydrolase activity""","1","0","0","1","1",""
"GO:0019104","GO:0019104","""DNA N-glycosylase activity""","4","0","0","1","1",""
"GO:0003689","GO:0003689","""DNA clamp loader activity""","5","0","0","1","1",""
"GO:0140612","GO:0140612","""DNA damage sensor activity""","9","0","0","1","1",""
"GO:0003678","GO:0003678","""DNA helicase activity""","10","0","0","1","1",""
"GO:0032135","GO:0032135","""DNA insertion or deletion binding""","1","0","0","1","1",""
"GO:0003910","GO:0003910","""DNA ligase (ATP) activity""","3","0","0","1","1",""
"GO:0003911","GO:0003911","""DNA ligase (NAD+) activity""","1","0","0","1","1",""
"GO:0003909","GO:0003909","""DNA ligase activity""","4","0","0","1","1",""
"GO:0034061","GO:0034061","""DNA polymerase activity""","6","0","0","1","1",""
"GO:0030337","GO:0030337","""DNA polymerase processivity factor activity""","1","0","0","1","1",""
"GO:0003896","GO:0003896","""DNA primase activity""","1","0","0","1","1",""
"GO:0003688","GO:0003688","""DNA replication origin binding""","2","0","0","1","1",""
"GO:0003916","GO:0003916","""DNA topoisomerase activity""","4","0","0","1","1",""
"GO:0003917","GO:0003917","""DNA topoisomerase type I (single strand cut, ATP-independent) activity""","2","0","0","1","1",""
"GO:0003918","GO:0003918","""DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity""","2","0","0","1","1",""
"GO:0008725","GO:0008725","""DNA-3-methyladenine glycosylase activity""","1","0","0","1","1",""
"GO:0043733","GO:0043733","""DNA-3-methylbase glycosylase activity""","1","0","0","1","1",""
"GO:0001228","GO:0001228","""DNA-binding transcription activator activity, RNA polymerase II-specific""","1","0","0","1","1",""
"GO:0001216","GO:0001216","""DNA-binding transcription activator activity""","1","0","0","1","1",""
"GO:0000981","GO:0000981","""DNA-binding transcription factor activity, RNA polymerase II-specific""","6","1","16.67","0.128446445156546","1","8627992"
"GO:0003700","GO:0003700","""DNA-binding transcription factor activity""","40","3","7.5","0.0611535869778465","1","8622088,8627992,8628117"
"GO:0140297","GO:0140297","""DNA-binding transcription factor binding""","2","0","0","1","1",""
