"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"GO:0046503","GO:0046503","""glycerolipid catabolic process""","8","2","25","0.0255451069210369","0.295954147484409","8618583,8619779"
"GO:0046475","GO:0046475","""glycerophospholipid catabolic process""","8","2","25","0.0255451069210369","0.295954147484409","8618583,8619779"
"GO:0006546","GO:0006546","""glycine catabolic process""","8","2","25","0.0255451069210369","0.295954147484409","8626298,8628069"
"GO:0019319","GO:0019319","""hexose biosynthetic process""","8","2","25","0.0255451069210369","0.295954147484409","8617278,8626225"
"GO:0010324","GO:0010324","""membrane invagination""","20","3","15","0.0252133663512328","0.295954147484409","8617398,8620547,8628392"
"GO:0046364","GO:0046364","""monosaccharide biosynthetic process""","8","2","25","0.0255451069210369","0.295954147484409","8617278,8626225"
"GO:0031161","GO:0031161","""phosphatidylinositol catabolic process""","8","2","25","0.0255451069210369","0.295954147484409","8618583,8619779"
"GO:0046488","GO:0046488","""phosphatidylinositol metabolic process""","35","4","11.43","0.0252647523135396","0.295954147484409","8616518,8618583,8619779,8627225"
"GO:0043543","GO:0043543","""protein acylation""","8","2","25","0.0255451069210369","0.295954147484409","8620085,8620455"
"GO:0072659","GO:0072659","""protein localization to plasma membrane""","8","2","25","0.0255451069210369","0.295954147484409","8616852,8621982"
"GO:0042221","GO:0042221","""response to chemical""","266","15","5.64","0.0247002236424426","0.295954147484409","8615885,8617276,8617398,8617765,8619320,8620316,8623081,8623590,8624038,8624340,8624973,8626018,8626298,8626383,8629215"
"GO:0006666","GO:0006666","""3-keto-sphinganine metabolic process""","1","1","100","0.032282741738066","0.298077315381476","8618724"
"GO:1902475","GO:1902475","""L-alpha-amino acid transmembrane transport""","1","1","100","0.032282741738066","0.298077315381476","8623999"
"GO:0015807","GO:0015807","""L-amino acid transport""","1","1","100","0.032282741738066","0.298077315381476","8623999"
"GO:0070981","GO:0070981","""L-asparagine biosynthetic process""","1","1","100","0.032282741738066","0.298077315381476","8625431"
"GO:0070982","GO:0070982","""L-asparagine metabolic process""","1","1","100","0.032282741738066","0.298077315381476","8625431"
"GO:0070778","GO:0070778","""L-aspartate transmembrane transport""","1","1","100","0.032282741738066","0.298077315381476","8623999"
"GO:0006563","GO:0006563","""L-serine metabolic process""","9","2","22.22","0.032154441634513","0.298077315381476","8628069,8628075"
"GO:0006498","GO:0006498","""N-terminal protein lipidation""","1","1","100","0.032282741738066","0.298077315381476","8620085"
"GO:0006499","GO:0006499","""N-terminal protein myristoylation""","1","1","100","0.032282741738066","0.298077315381476","8620085"
"GO:0000394","GO:0000394","""RNA splicing, via endonucleolytic cleavage and ligation""","1","1","100","0.032282741738066","0.298077315381476","8621598"
"GO:0035494","GO:0035494","""SNARE complex disassembly""","1","1","100","0.032282741738066","0.298077315381476","8620316"
"GO:0038202","GO:0038202","""TORC1 signaling""","1","1","100","0.032282741738066","0.298077315381476","8628472"
"GO:0006083","GO:0006083","""acetate metabolic process""","1","1","100","0.032282741738066","0.298077315381476","8621204"
"GO:0019427","GO:0019427","""acetyl-CoA biosynthetic process from acetate""","1","1","100","0.032282741738066","0.298077315381476","8621204"
"GO:0006084","GO:0006084","""acetyl-CoA metabolic process""","9","2","22.22","0.032154441634513","0.298077315381476","8620524,8621204"
"GO:0046185","GO:0046185","""aldehyde catabolic process""","1","1","100","0.032282741738066","0.298077315381476","8628191"
"GO:0019405","GO:0019405","""alditol catabolic process""","1","1","100","0.032282741738066","0.298077315381476","8624347"
