Gene,Entrez ID,noagg_ripple,ripple_lag,lag_tag,tag_tip,tip_slug,slug_Mhat,Mhat_cul,cul_FB,merged_milestones,Regulon cluster,tgr_disagg_gene,dediff,Parikh_cell-type,Maeda_cell-type,Maeda_detailed cell-type,cAMP-pulse induced,chemotaxis,hssA/2C/7E family,57-aa protein family,sig and  sigN genes,gtaG dependent short protein,All_transcriptional regulation and chromatin organization 
string,string,noagg_ripple_down noagg_ripple_up,ripple_lag_down ripple_lag_up,lag_tag_down lag_tag_up,tag_tip_down tag_tip_up,discrete,discrete,Mhat_cul_down Mhat_cul_up,cul_FB_down cul_FB_up,Mhat_cul_down Mhat_cul_up cul_FB_down cul_FB_up lag_tag_down lag_tag_up lag_tag_upMhat_cul_down noagg_ripple_down noagg_ripple_downMhat_cul_up noagg_ripple_downcul_FB_up noagg_ripple_downlag_tag_up noagg_ripple_downslug_Mhat_up noagg_ripple_up noagg_ripple_uplag_tag_down ripple_lag_down ripple_lag_up ripple_lag_uptag_tip_down slug_Mhat_up slug_Mhat_upcul_FB_down tag_tip_down tag_tip_up tip_slug_up tip_slug_upMhat_cul_down,C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21,6to8h 8to12h,discrete,Psp Pst,prespore prestalk,Late\ prestalk\ SSE634\ pattern Late\ prestalk\ SSG721\ pattern PstA PstAB\ SLA128\ pattern PstAB\ SLC388\ pattern PstAB\ SSB312\ pattern PstAB\ SSK348\ pattern PstAO\ SLE474\ pattern PstAO\ SSA854\ pattern PstAO\ SSH475\ pattern PstO\ SLG775\ pattern PstO\ SLH659\ pattern PstO\ SSM184\ pattern SLC388\ pattern prespore,discrete,discrete,highly\ similar\ to\ other\ hssA/2C/7E hssA/2C/7E\ family related\ to\ hssA weakly\ similar\ to hssA/2C/7E,small_57aa small_57aa\ like,SrfA-induced almost\ identical\ to\ sigN176 sigN\ genes,gtaG\ dependent gtaG\ dependent\ weakly,"TF\ (general,pol\ II) TF\ (general,pol\ II)\ chromatin\ modification TF\ (mediator) TF\ (pol\ I/pol\ III) TF\ (regulation) TF\ (regulation)\ \ histon\ modification TF\ (regulation)\ chromatin\ org chromatin chromatin\ centromere chromatin\ remodeling\ factor histone\ modification histone/histone\ variant"
meta,meta,,,,,,,,,,,,,,,,,,,,,,
DDB_G0276231,8620287,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0277989,8621269,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0272756,8618620,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0270662,8617288,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0270980,8617315,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0292732,8628844,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0292730,8628843,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0286817,8625771,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0289729,8627295,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0291824,8628361,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0268264,8615886,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0267614,8615968,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0290011,8627450,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0277413,8621006,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0287125,8625993,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0274305,8619387,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0285915,8625352,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0275123,8619783,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0286669,8625750,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0285211,8624999,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0270942,8617218,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0292312,8628612,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0292764,8628860,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0291077,8627980,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0283173,8623972,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0276643,8620607,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0285683,8625261,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0267952,8616249,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0289945,8627415,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0289947,8627416,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0283547,8624134,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0275505,8620186,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0274117,8619568,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0274115,8619567,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0284739,8624746,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0278215,8621418,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0286799,8625709,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0284881,8624817,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0292350,8628627,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0277571,8621089,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0274131,8619675,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0279519,8622082,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0283317,8624032,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0285927,8625359,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0267998,8616286,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0271860,8618173,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0279577,8622118,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0272386,8618354,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0287299,8626048,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0273433,8618979,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0274949,8619635,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0272462,8618460,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0267440,8616281,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0268136,8616391,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0276039,8620397,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0276033,8620408,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0274887,8619530,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0292226,8628561,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0284729,8624721,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0282327,8623520,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0293492,8629251,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0282007,8623358,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0284979,8624881,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0284707,8624741,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0284701,8624736,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0275241,8619775,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0275631,8620155,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0293112,8629059,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0270518,8616910,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0278541,8621635,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0269848,8617294,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0291738,8628300,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0268460,8616424,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0275791,8620037,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0284583,8624665,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0283885,8624289,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0280911,8622783,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0268396,8616231,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0275265,8619818,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0268708,8616568,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0295753,8627057,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0276309,8620426,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0280055,8622499,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0271770,8618151,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0271544,8618040,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0268818,8616682,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0268810,8616674,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0291770,8628299,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0284485,8624614,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0275075,8619834,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0268292,8615967,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0282307,8623508,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0292830,8628887,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0267398,8616428,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0271590,8618075,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0281021,8622824,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0285533,8625156,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0285535,8625157,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0274191,8619701,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0293662,8629374,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0276343,8620452,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0280549,8622601,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0276969,8620808,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0284079,8624407,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0288301,8626558,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0288759,8626791,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0283683,8624210,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0273073,8618843,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0269706,8617163,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0284691,8624730,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0286345,8625559,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0286889,8625846,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0285203,8624975,,,,,,,,,,,,,Pst,,,,,,,,,
DDB_G0280997,8622812,,,,,tip_slug_up,,,,tip_slug_up,,,,Psp,,,,,,,,,
DDB_G0270658,8617276,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0280157,8622408,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0289195,8627004,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0289919,8627391,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0271640,8618038,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0273115,8618807,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0269998,8617416,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0291111,8627982,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0290505,8627685,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0288723,8626773,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0290691,8627779,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0285409,8625083,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0274713,8619451,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0282637,8623705,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0277891,8621262,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0281951,8623344,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0284393,8624575,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0276657,8620617,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Psp,,,,,,,,,
DDB_G0271876,8618181,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Psp,,,,,,,,,
DDB_G0280643,8622655,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Psp,,,,,,,,,
DDB_G0284061,8624388,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Psp,,,,,,,,,
DDB_G0267826,8616146,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Psp,,,,,,,,,
DDB_G0286917,8625860,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Psp,,,,,,,,,
DDB_G0280691,8622684,noagg_ripple_up,,,,,,,,noagg_ripple_up,,,,Psp,,,,,,,,,
DDB_G0278283,8621472,noagg_ripple_down,,,,,slug_Mhat_up,,,noagg_ripple_downslug_Mhat_up,,,,Psp,,,,,,,,,
DDB_G0278789,8621696,noagg_ripple_down,,,,,,,,noagg_ripple_down,,,,Psp,,,,,,,,,
DDB_G0287997,8626404,noagg_ripple_down,,,,,,,,noagg_ripple_down,,,,Psp,,,,,,,,,
DDB_G0289537,8627188,noagg_ripple_down,,lag_tag_up,,,,,,noagg_ripple_downlag_tag_up,,,,Psp,,,,,,,,,
DDB_G0278657,8621490,,,,,,,Mhat_cul_down,,Mhat_cul_down,,,,Psp,,,,,,,,,
DDB_G0276793,8620743,,,,,,,Mhat_cul_down,,Mhat_cul_down,,,,Psp,,,,,,,,,
DDB_G0268158,8616409,,,lag_tag_up,,,,Mhat_cul_down,,lag_tag_upMhat_cul_down,,,,Psp,,,,,,,,,
DDB_G0285869,8625324,,,lag_tag_up,,,,,,lag_tag_up,,,,Psp,,,,,,,,,
DDB_G0290243,8627527,,,lag_tag_up,,,,,,lag_tag_up,,,,Psp,,,,,,,,,
DDB_G0282833,8623791,,,lag_tag_up,,,,,,lag_tag_up,,,,Psp,,,,,,,,,
DDB_G0288681,8626771,,,lag_tag_up,,,,,,lag_tag_up,,,,Psp,,,,,,,,,
DDB_G0278073,8621315,,,lag_tag_up,,,,,,lag_tag_up,,,,Psp,,,,,,,,,
DDB_G0271510,8618005,,,lag_tag_up,,,,,,lag_tag_up,,,,Psp,,,,,,,,,
DDB_G0268204,8616457,,,lag_tag_up,,,,,,lag_tag_up,,,,Psp,,,,,,,,,
DDB_G0290799,8627839,,,lag_tag_up,,,,,,lag_tag_up,,,,Psp,,,,,,,,,
DDB_G0277967,8621247,,,lag_tag_up,,,,,,lag_tag_up,,,,Psp,,,,,,,,,
DDB_G0291145,8628006,,,,,,slug_Mhat_up,,,slug_Mhat_up,,,dediff,Psp,,,,,,,,,
DDB_G0283991,8624326,noagg_ripple_down,,,,,slug_Mhat_up,,,noagg_ripple_downslug_Mhat_up,,,dediff,Psp,,,,,,,,,
DDB_G0276331,8620469,noagg_ripple_down,,,,,,,,noagg_ripple_down,,,dediff,Psp,,,,,,,,,
DDB_G0288145,8626476,,,,,,,,,,,,dediff,Psp,,,,,,,,,
DDB_G0274859,8619481,,,,,,,,,,,,dediff,Psp,,,,,,,,,
DDB_G0285657,8625246,,,,,,,,,,,,dediff,Psp,,,,,,,,,
DDB_G0289455,8627146,,,,,,,,,,,,dediff,Psp,,,,,,,,,
DDB_G0290121,8627491,,,,,,,,,,,,dediff,Psp,,,,,,,,,
DDB_G0267420,8615933,,,,,,,,,,,,dediff,Psp,,,,,,,,,
DDB_G0288817,8626825,,,,,,,,cul_FB_up,cul_FB_up,,,,Psp,,,,,,,,,
DDB_G0292696,8628837,,ripple_lag_up,,,,,,,ripple_lag_up,C8,,,Psp,,,,,,,,,
DDB_G0268284,8615937,,,,,,,,,,C8,,,Psp,,,,,,,,,
DDB_G0287863,8626323,,,,,,,,,,C8,,,Psp,,,,,,,,,
DDB_G0279337,8621997,,,,,,,,,,C6,,,Psp,,,,,,,,,
DDB_G0293026,8628993,,,,,,,,,,C6,,,Psp,,,,,,,,,
DDB_G0295739,8627529,noagg_ripple_down,,,,,,,,noagg_ripple_down,C4,,,Psp,,,,,,,,,
DDB_G0288369,8626579,,,,,,slug_Mhat_up,,,slug_Mhat_up,C21,,,Psp,,,,,,,,,
DDB_G0293806,8629428,,,,,,,,cul_FB_up,cul_FB_up,C21,,,Psp,,,,,,,,,
DDB_G0289527,8627190,,,,,,,,cul_FB_up,cul_FB_up,C21,,,Psp,,,,,,,,,
DDB_G0288303,8626560,,,,,,,,,,C21,,,Psp,,,,,,,,,
DDB_G0271840,8618164,,,,,,,,,,C21,,,Psp,,,,,,,,,
DDB_G0269108,8617104,,,,,,,,,,C21,,,Psp,,,,,,,,,
DDB_G0288231,8626517,,,lag_tag_up,,,,,,lag_tag_up,C20,,,Psp,,,,,,,,,
DDB_G0269428,8616902,,,,,,,,cul_FB_up,cul_FB_up,C20,,,Psp,,,,,,,,,
DDB_G0271354,8617817,,,,,,,,,,C20,,,Psp,,,,,,,,,
DDB_G0282037,8623382,,,,,,,,,,C20,,,Psp,,,,,,,,,
DDB_G0277903,8621393,,,,,,,,cul_FB_up,cul_FB_up,C18,,,Psp,,,,,,,,,
DDB_G0269634,8617084,,,,,,,,cul_FB_up,cul_FB_up,C18,,,Psp,,,,,,,,,
DDB_G0284677,8624722,,,,,,,,cul_FB_up,cul_FB_up,C18,,,Psp,,,,,,,,,
DDB_G0282109,8623412,,,,,,,,,,C18,,,Psp,,,,,,,,,
DDB_G0269574,8617031,,,,,,,,,,C18,,,Psp,,,,,,,,,
DDB_G0267710,8616051,,,,,,,,,,C18,,,Psp,,,,,,,,,
DDB_G0274801,8619356,,,,,,,,,,C18,,,Psp,,,,,,,,,
DDB_G0286053,8625428,,,,,,slug_Mhat_up,,,slug_Mhat_up,C17,,,Psp,,,,,,,,,
DDB_G0286055,8625429,,,,,,slug_Mhat_up,,,slug_Mhat_up,C17,,,Psp,,,,,,,,,
DDB_G0280215,8622443,,,,,,slug_Mhat_up,,,slug_Mhat_up,C17,,,Psp,,,,,,,,,
DDB_G0283935,8624339,,,,,,,,,,C17,,,Psp,,,,,,,,,
DDB_G0286577,8625680,,,,,,,,,,C17,,,Psp,,,,,,,,,
DDB_G0290041,8627458,,,,,,,,,,C17,,,Psp,,,,,,,,,
DDB_G0289075,8626962,,,,,,,,,,C17,,,Psp,,,,,,,,,
DDB_G0286023,8625405,,,,,,,,,,C17,,,Psp,,,,,,,,,
DDB_G0269558,8617014,,,,,,slug_Mhat_up,,,slug_Mhat_up,C16,,,Psp,,,,,,,,,
DDB_G0284427,8624595,,,,,,slug_Mhat_up,,,slug_Mhat_up,C16,,,Psp,,,,,,,,,
DDB_G0279727,8622156,,,,,,slug_Mhat_up,,,slug_Mhat_up,C16,,,Psp,,,,,,,,,
DDB_G0283961,8624352,,,,,,slug_Mhat_up,,,slug_Mhat_up,C16,,,Psp,,,,,,,,,
DDB_G0280425,8622548,,,,,,slug_Mhat_up,,,slug_Mhat_up,C16,,,Psp,,,,,,,,,
DDB_G0288153,8626482,,,,,,slug_Mhat_up,,,slug_Mhat_up,C16,,,Psp,,,,,,,,,
DDB_G0285259,8625012,,,,,,slug_Mhat_up,,,slug_Mhat_up,C16,,,Psp,,,,,,,,,
DDB_G0283675,8624204,,,,,,,,,,C16,,,Psp,,,,,,,,,
DDB_G0290845,8627858,,,,,,,,,,C16,,,Psp,,,,,,,,,
DDB_G0269648,8617093,,,,,,,,,,C16,,,Psp,,,,,,,,,
DDB_G0292030,8628455,,,,,,,,,,C16,,,Psp,,,,,,,,,
DDB_G0275145,8619767,,,,,,,,,,C16,,,Psp,,,,,,,,,
DDB_G0274573,8619379,,,,,,,,,,C16,,,Psp,,,,,,,,,
DDB_G0282245,8623482,,,,,,slug_Mhat_up,,,slug_Mhat_up,C15,,,Psp,,,,,,,,,
DDB_G0286499,8625647,,,,,,slug_Mhat_up,,,slug_Mhat_up,C15,,,Psp,,,,,,,,,
DDB_G0280019,8622323,,,lag_tag_up,,,,,,lag_tag_up,C15,,,Psp,,,,,,,,,
DDB_G0285863,8625321,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0285283,8625030,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0279483,8622060,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0268214,8616467,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0284441,8624603,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0275515,8620200,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0286573,8625678,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0274747,8619359,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0287701,8626252,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0285563,8625176,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0275785,8620045,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0275783,8620046,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0276869,8620836,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0281039,8622833,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0278017,8621285,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0287529,8626171,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0293056,8629019,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0281391,8623096,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0289901,8627376,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0287319,8626065,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0290079,8627467,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0289669,8627254,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0274751,8619357,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0287681,8626248,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0274265,8619452,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0285807,8625297,,,,,,,,,,C15,,,Psp,,,,,,,,,
DDB_G0290847,8627860,,,,,,,,,,C13,,,Psp,,,,,,,,,
DDB_G0272716,8618544,,,,,,,,,,C13,,,Psp,,,,,,,,,
DDB_G0272714,8618545,,,,,,,,,,C13,,,Psp,,,,,,,,,
DDB_G0272672,8618599,,,,,,,,,,C13,,,Psp,,,,,,,,,
DDB_G0270342,8617694,,,,,,,Mhat_cul_down,,Mhat_cul_down,C12,,,Psp,,,,,,,,,
DDB_G0279119,8621882,,,,,,,Mhat_cul_down,,Mhat_cul_down,C12,,,Psp,,,,,,,,,
DDB_G0291818,8628354,,,lag_tag_up,,,,,,lag_tag_up,C12,,,Psp,,,,,,,,,
DDB_G0289209,8627011,,,,,,,,,,C12,,,Psp,,,,,,,,,
DDB_G0270890,8617052,,,,,,,,,,C12,,,Psp,,,,,,,,,
DDB_G0289365,8627105,,,,,,,,,,C12,,,Psp,,,,,,,,,
DDB_G0269886,8617334,,,,,,,,,,C12,,,Psp,,,,,,,,,
DDB_G0277187,8620906,,,,,,,,,,C12,,,Psp,,,,,,,,,
DDB_G0293638,8629360,,,,,,,,,,C12,,,Psp,,,,,,,,,
DDB_G0279455,8622041,,,,,,,,,,C12,,,Psp,,,,,,,,,
DDB_G0278697,8621620,,,,,,,,,,C12,,,Psp,,,,,,,,,
DDB_G0288515,8626666,,,,,,,,,,C12,,,Psp,,,,,,,,,
DDB_G0288419,8626618,,,,,,,,,,C12,,,Psp,,,,,,,,,
DDB_G0274261,8619448,,,,,,,,,,C12,,,Psp,,,,,,,,,
DDB_G0292202,8628462,,,,,,,,,,C12,,,Psp,,,,,,,,,
DDB_G0291123,8628017,,,,,,,,,,C11,,,Psp,,,,,,,,,
DDB_G0284613,8624698,,,,,,,,,,C11,,,Psp,,,,,,,,,
DDB_G0269900,8617343,,,,,,,,,,C11,,,Psp,,,,,,,,,
DDB_G0280045,8622469,,,lag_tag_up,,,,,,lag_tag_up,C10,,,Psp,,,,,,,,,
DDB_G0267396,8615938,,,lag_tag_up,,,,,,lag_tag_up,C10,,,Psp,,,,,,,,,
DDB_G0269374,8616856,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0294090,?,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0280609,8622636,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0269784,8617231,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0293512,8629263,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0288737,8626766,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0272264,8618364,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0280501,8622591,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0276927,8620675,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0277039,8620740,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0276545,8620503,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0293938,8629505,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0268542,8616211,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0267648,8615995,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0269980,8617403,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0278883,8621758,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0280527,8622578,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0287365,8626098,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0277055,8620760,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0267812,8616139,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0275345,8619933,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0268066,8616337,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0276223,8620300,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0280591,8622625,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0295669,8628341,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0287183,8626006,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0270996,8617353,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0286287,8625548,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0294078,?,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0284775,8624767,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0286367,8625573,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0269048,8616523,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0277137,8620865,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0280809,8622731,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0292776,8628847,,,,,,,,,,,,,Psp,,,,,,,,,
DDB_G0288597,8626710,,,,,,,,,,,,,Psp,,,,,,,,,
