ddb_g,AX4L846F_avr_00h,AX4L846F_avr_04h,AX4L846F_avr_08h,AX4L846F_avr_12h,AX4L846F_avr_16h,AX4L846F_avr_20h,B1.L846F_avr_00h,B1.L846F_avr_04h,B1.L846F_avr_08h,B1.L846F_avr_12h,B1.L846F_avr_16h,B1.L846F_avr_20h,
DDB_G0287269,201.706844,40.90178758,24.4030801,59.18660696,76.84874461,89.62899478,217.1636474,65.42107017,44.53812778,34.59779824,76.9712214,93.46260462,
DDB_G0287271,18.54394267,13.11447713,8.796520619,9.096521778,13.95426367,19.22977221,20.16754457,14.90943855,11.95099582,11.93924464,12.17545191,15.8124014,
DDB_G0287273,17.17087667,32.33364015,12.73164259,9.582783978,6.531397529,3.907901598,20.27438291,32.57601624,22.62681977,17.91165367,12.22274982,8.640964955,
DDB_G0287275,3.241182401,9.117533063,3.507531762,2.217590627,1.886478829,1.439274504,5.036355991,9.566493985,5.329794349,3.213536881,2.757048,2.277082214,
DDB_G0287277,135.8044769,42.88197044,24.81652109,7.791612856,10.40656717,9.844022592,132.5520324,51.32532341,61.03930426,19.72241286,12.43203574,10.43492689,
DDB_G0287279,16.26498228,4.240435834,2.733959078,1.185998777,2.574786179,1.336381956,13.43008509,4.859987436,2.889276247,2.805157454,1.684464241,2.206428943,
DDB_G0287281,1.314049492,6.654670152,13.02371728,25.21783295,25.99431965,44.51582991,1.219270412,8.2969529,9.630994071,13.86479788,27.12317359,42.75642748,
DDB_G0287283,0,0,0.179569605,2.111538628,9.552236336,13.62984697,0,0,0,0,2.269045126,14.46358248,
DDB_G0287287,5.421938843,13.26511492,23.84401934,22.67372186,18.43622063,15.34187992,7.845101424,11.54484365,19.38346936,21.47181676,19.30693965,15.73778447,
DDB_G0287289,7.897506647,14.51425398,14.68865621,21.95403164,29.61518546,30.34918798,6.614558662,13.2931582,11.28203468,17.18268497,22.38964849,27.73462932,
DDB_G0287291,2.119985278,3.704424145,4.19190533,99.77720494,61.61526308,67.41076892,2.219101578,3.998646246,3.070973995,9.764668608,71.79034052,49.10556907,
DDB_G0287293,0.291388899,0.039714894,0,0.056087745,0.231283547,1.249166838,0.103104212,0.04841509,0.060284849,0,0,1.067895128,
DDB_G0287295,2.984656426,12.74893595,111.3721734,161.483045,146.5650502,137.607285,2.513673695,5.47507184,62.35655573,98.93399245,122.8203853,119.0511849,
DDB_G0287297,917.7043897,418.1139807,115.474754,91.32511465,128.6947157,86.71760333,895.5948904,522.1272559,222.0880167,68.87626825,89.03128655,67.83978581,
DDB_G0287299,1.263175809,3.464572113,1.844820351,1.658920406,3.196725507,4.463097199,0.99410828,2.658141442,2.717082901,2.585828469,2.484372954,3.841070814,
DDB_G0287303,22.37071473,16.47883064,14.4506631,10.78636174,18.03974535,19.63491758,30.30674159,19.60334094,19.58988385,18.4932024,21.69537706,22.58975539,
DDB_G0287305,17.02814176,5.620333236,1.852906082,1.910417442,1.442562331,1.634928529,37.15578437,9.878657533,4.866001023,2.723021978,2.37632999,2.293023087,
DDB_G0287307,39.78454439,59.50298656,91.35111692,86.54740389,52.91663067,56.22910696,44.23598481,49.98421019,73.41157616,100.9962343,72.36047355,60.69846335,
DDB_G0287309,32.58899813,11.89435045,9.822278043,7.699917167,5.186069106,5.26566071,36.19829698,13.23741558,11.82659478,7.421789955,7.224676048,6.408438551,
DDB_G0287311,0.78562728,1.852824294,2.087296163,1.374971575,1.115014229,1.149643886,0.589834381,1.226166392,2.525215386,0.674324764,1.441015471,0.457060189,
DDB_G0287313,1.121818688,0.615486855,1.382370993,0.900592757,0.582215415,0.752443901,1.181429358,0.437531779,1.329504451,0.776837778,0.452588161,0.373819222,
DDB_G0287315,41.38882375,42.89732275,16.74517036,13.82015,21.96881098,26.29325061,44.13362699,35.85673808,21.61997132,18.09874382,16.14579932,15.63605256,
DDB_G0287317,0.641699001,0.797920888,23.64146579,91.87823337,97.29363997,156.0728975,0.231766742,0.688175131,9.992289128,70.18280018,132.0550034,147.1386119,
DDB_G0287319,1.309780466,3.47658064,7.171606284,103.8601008,119.5321823,207.569296,0.719835046,3.251427365,4.584018658,39.04648069,153.0906139,205.2861211,
DDB_G0287321,1.028298459,1.894627362,1.396331309,1.338471365,2.042573598,3.631582,0.472600217,1.004027842,1.090140812,0.927222548,1.254393339,2.116162931,
DDB_G0287323,1.602415107,6.215136156,5.319627992,3.564331894,5.126948301,17.30226021,1.444247871,6.491331457,6.457484204,3.827722156,2.952620278,13.14025932,
DDB_G0287325,20.43967739,36.76225109,38.36000828,37.48905846,32.56854488,24.60194702,17.72258026,26.81464599,33.56419741,39.29699083,27.13800465,23.74088396,
DDB_G0287327,9.6272465,8.09670492,4.25916168,1.926084691,1.059686394,1.056832179,12.48976864,11.54168458,6.346057966,4.101549591,2.965029633,1.780784323,
DDB_G0287329,42.9409025,22.82817472,22.84139006,25.81252058,13.35336418,11.17829804,53.84083887,24.79416404,29.67958936,24.44562965,21.88896635,10.46697893,
DDB_G0287331,18.71536821,18.35313851,15.48215975,14.22744443,9.969989089,10.97695726,22.69758577,15.03436707,16.5087452,19.12961516,12.85039032,13.33108898,
DDB_G0287333,108.47731,43.79503021,22.75374519,29.81919104,28.67739616,28.3058343,106.9600955,47.88032921,31.13372805,31.95751964,29.48946793,23.58181712,
DDB_G0287335,810.0258554,207.9757128,86.93285154,49.1703185,40.28465379,37.21784333,837.634578,301.8164275,182.1176288,105.5935977,66.34687827,46.2640466,
DDB_G0287337,9.746524004,16.80637335,17.7073573,21.09714924,20.97345535,15.39082706,8.919847314,13.21307152,15.35549501,17.0052245,16.27081989,12.68963152,
DDB_G0287339,0.007270968,0,0.037195047,4.580220739,2.614772909,2.830189754,0.027499488,0,0.010992109,0.30416415,2.446609494,2.766154104,
DDB_G0287341,0.068688992,0.645525093,8.144944955,11.9616814,12.60277822,13.00821412,0,0.074111732,2.585104828,9.408922454,12.19868388,12.79700382,
