row_IDs,X,b_0,b_1,b_2,b_3,d_0,d_1,d_2,d_3,AveExpr,F,P.Value,adj.P.Val,Regulation
DDB_G0290771,DDB_G0290771,5.20E-05,1.94E-05,0.000180936,-4.15E-05,-1.31E-05,-4.06E-06,-0.000123105,6.59E-06,0.000990206,3.872691449,0.012393184,0.027290536,Downregulated
DDB_G0290901,DDB_G0290901,0.000222112,0.000287856,0.001119585,-0.000647857,-6.45E-05,-0.00048632,-0.000486771,0.000143278,0.00135601,3.871799776,0.012405967,0.027309599,Downregulated
DDB_G0274401,DDB_G0274401,0.002343664,0.001234875,-0.00115429,0.000124917,-0.000917313,-0.001309312,0.001193623,-0.000349213,0.000148266,3.871790549,0.012406099,0.027309599,Downregulated
DDB_G0284425,DDB_G0284425,0.000979604,0.000652306,0.001057468,-0.00122564,-0.000261197,-0.001050396,-0.000613554,0.000113558,0.000288049,3.869991007,0.01243194,0.027357093,Downregulated
DDB_G0285937,DDB_G0285937,8.17E-05,0.00282427,0.001848232,0.001074707,-0.000109594,-0.001087201,-0.000488563,-0.000786773,0.000740343,3.870066536,0.012430854,0.027357093,Downregulated
DDB_G0274963,DDB_G0274963,4.34E-05,9.86E-06,2.39E-05,4.27E-06,-3.80E-05,2.85E-05,-1.21E-05,3.59E-06,5.69E-05,3.869774372,0.012435055,0.027359253,Downregulated
DDB_G0278053,DDB_G0278053,0.000343135,3.50E-05,-0.000570258,1.93E-06,-0.000266523,1.36E-05,0.000538311,-3.02E-05,0.004099577,3.869555099,0.012438208,0.027361498,Downregulated
DDB_G0285829,DDB_G0285829,0.000340322,0.005463459,0.00312754,0.000730401,-0.000119522,-0.00169549,-0.001529529,-0.000581797,0.000755192,3.868913804,0.012447436,0.027377101,Downregulated
DDB_G0274581,DDB_G0274581,1.23E-05,7.94E-05,3.69E-05,6.93E-05,-5.83E-06,-5.76E-05,-1.70E-05,-5.98E-05,0.000969045,3.865115094,0.012502242,0.02749293,Downregulated
DDB_G0270828,DDB_G0270828,0.000214008,0.000440853,0.000319638,-4.08E-06,-0.00011542,-0.000235898,-6.48E-05,-3.41E-05,9.22E-05,3.863403869,0.012527014,0.027542683,Downregulated
DDB_G0272098,DDB_G0272098,0.013721767,0.010004445,0.021888189,-0.012384518,-0.001469209,-0.023268632,-0.013904714,-0.005687437,0.000529126,3.862904989,0.012534246,0.02755386,Downregulated
DDB_G0290327,DDB_G0290327,4.07E-05,3.70E-05,-2.47E-05,-3.35E-06,-2.65E-05,-1.86E-05,2.45E-05,-6.44E-06,0.003330016,3.860829678,0.012564377,0.027615363,Downregulated
DDB_G0275411,DDB_G0275411,0.001913584,0.014658674,0.009485022,-0.001288133,-0.000865033,-0.008475731,-0.003914909,-0.000103832,0.00657102,3.859777146,0.012579687,0.027644277,Downregulated
DDB_G0271608,DDB_G0271608,0.010037334,-0.000752881,-0.009439268,-0.005916587,-0.002277488,-0.002066313,0.002472767,-0.000384475,0.000224077,3.858400208,0.012599746,0.027682109,Downregulated
DDB_G0283483,DDB_G0283483,0.025655058,0.026917942,-0.01621295,0.033920016,-0.011029068,-0.008129846,0.010832529,-0.020411975,0.002450858,3.858299205,0.012601219,0.027682109,Downregulated
DDB_G0278259,DDB_G0278259,0.000376224,-0.00021864,-7.01E-05,-0.000313959,-0.000168022,-2.19E-05,6.47E-05,0.000125801,0.002634488,3.857646122,0.012610746,0.027698294,Downregulated
DDB_G0282125,DDB_G0282125,7.46E-05,-4.68E-06,-1.64E-05,-5.00E-05,-2.43E-05,-3.96E-06,-3.04E-05,2.32E-05,0.000873581,3.857384391,0.012614566,0.027701941,Downregulated
DDB_G0287855,DDB_G0287855,0.002892023,0.002531704,-0.000527975,-0.002362294,-0.00112778,-0.002650592,0.001140379,0.000128661,0.003286192,3.857086635,0.012618914,0.027706745,Downregulated
DDB_G0292768,DDB_G0292768,0.118269641,-0.044043201,-0.08019974,-0.090876657,-0.046065399,-0.008126337,0.04163666,0.015395813,0.000995092,3.856309581,0.012630267,0.027726926,Downregulated
DDB_G0291003,DDB_G0291003,0.000411846,0.013511818,0.013053178,0.007299929,-0.000394678,-0.003555191,-0.003893064,-0.006079177,0.004373892,3.855176354,0.012646843,0.027758565,Downregulated
DDB_G0271366,DDB_G0271366,6.07E-05,-1.07E-05,0.001376477,-0.000455397,-2.68E-05,0.000112086,-0.000683613,0.000364514,4.47E-05,3.854628446,0.012654866,0.027771422,Downregulated
DDB_G0275409,DDB_G0275409,1.08E-05,5.33E-05,4.19E-05,2.99E-05,-5.82E-06,-5.48E-05,-2.02E-05,-3.98E-05,0.000813555,3.853233973,0.012675309,0.027811526,Downregulated
DDB_G0269272,DDB_G0269272,0.000671515,6.69E-05,-0.00059144,-5.26E-05,-0.000195749,-0.000240782,5.03E-05,-7.92E-05,0.000228144,3.852762201,0.012682233,0.027821959,Downregulated
DDB_G0290537,DDB_G0290537,0.002633612,-1.17E-05,-0.000246345,-0.001363434,-0.000934429,-0.001246916,0.000192221,-0.000364592,0.019632706,3.852590072,0.01268476,0.027822745,Downregulated
DDB_G0287873,DDB_G0287873,0.000418399,0.000406774,5.94E-05,-0.000320467,-9.39E-05,-0.000648036,-0.000126159,-9.18E-06,0.003977709,3.851635673,0.012698782,0.027846748,Downregulated
