row_IDs,X,b_0,b_1,b_2,b_3,d_0,d_1,d_2,d_3,AveExpr,F,P.Value,adj.P.Val,Regulation
DDB_G0286573,DDB_G0286573,0.001219299,0.010164688,0.041176906,0.071593736,-0.00118588,-0.009730466,-0.041114753,-0.0715084,0.009268178,73.87737053,1.27E-14,5.26E-12,Downregulated
DDB_G0292218,DDB_G0292218,-0.000684235,-0.012936943,0.032460691,0.044657505,0.000710807,0.013178583,-0.032463612,-0.044575891,0.004982104,72.69620508,1.56E-14,6.27E-12,Downregulated
DDB_G0283493,DDB_G0283493,-6.78E-05,-0.001311097,0.002750863,0.003646459,8.08E-05,0.001389384,-0.002748563,-0.00361741,0.000411041,71.81361559,1.83E-14,7.12E-12,Downregulated
DDB_G0269092,DDB_G0269092,0.000372884,0.006462422,0.006724137,0.010994771,-0.00030771,-0.006470198,-0.00633073,-0.011075108,0.001995164,71.08933053,2.09E-14,7.87E-12,Downregulated
DDB_G0273229,DDB_G0273229,1.30E-05,-0.000404923,0.000714638,0.000877802,1.62E-05,0.00042021,-0.00067762,-0.000865445,0.000185432,69.83314356,2.62E-14,9.62E-12,Downregulated
DDB_G0278731,DDB_G0278731,1.50E-05,0.00019096,0.000832344,0.001241861,-2.00E-06,-0.000164723,-0.000828484,-0.001238073,0.002660079,69.55848295,2.76E-14,9.84E-12,Downregulated
DDB_G0281383,DDB_G0281383,4.34E-05,-0.00117745,0.014112227,0.021744474,-2.07E-05,0.001320031,-0.014108679,-0.021691798,0.015118188,67.22228298,4.28E-14,1.46E-11,Downregulated
DDB_G0292030,DDB_G0292030,-1.31E-05,-0.000606423,0.001598235,0.001977317,5.38E-05,0.000746535,-0.001501445,-0.001881613,0.000408147,67.00877906,4.45E-14,1.46E-11,Downregulated
DDB_G0279361,DDB_G0279361,0.009764395,0.005391248,0.025598953,0.042181379,0.001122978,-0.005504166,-0.028320311,-0.041161192,0.000300541,67.09025726,4.39E-14,1.46E-11,Downregulated
DDB_G0274539,DDB_G0274539,2.40E-05,-2.33E-05,0.002036488,0.003188133,-1.36E-05,5.09E-05,-0.002030767,-0.003180404,0.000136803,66.85665689,4.59E-14,1.47E-11,Downregulated
DDB_G0285283,DDB_G0285283,0.000137754,0.000848637,0.003790818,0.006387313,-9.87E-05,-0.000749791,-0.0036863,-0.006375695,0.000894484,64.44558572,7.33E-14,2.27E-11,Downregulated
DDB_G0272530,DDB_G0272530,0.000798072,0.005852287,0.019051881,0.033825582,-0.000679083,-0.005703383,-0.018772586,-0.033791039,0.00457966,64.36323527,7.45E-14,2.27E-11,Downregulated
DDB_G0270662,DDB_G0270662,-4.67E-05,-0.000809173,0.001593291,0.001910047,6.32E-05,0.000787728,-0.001557969,-0.001926818,7.26E-05,61.96970182,1.21E-13,3.60E-11,Downregulated
DDB_G0283837,DDB_G0283837,-0.000202233,-0.003364547,0.006429127,0.008229898,0.000222744,0.003784537,-0.006321391,-0.008078515,5.05E-05,61.39830425,1.36E-13,3.78E-11,Downregulated
DDB_G0295797,DDB_G0295797,0.000268878,0.00212439,0.007839526,0.01251345,-0.000102396,-0.001378488,-0.007562761,-0.012106338,0.000946816,61.41327963,1.35E-13,3.78E-11,Downregulated
DDB_G0282245,DDB_G0282245,-0.00156705,-0.020641573,0.07094986,0.093146192,0.001227245,0.020605618,-0.06813438,-0.094281904,0.001956654,61.46808488,1.34E-13,3.78E-11,Downregulated
DDB_G0289443,DDB_G0289443,-0.000140197,-0.002904598,0.019410587,0.028044049,0.000146324,0.003429793,-0.01903612,-0.027815467,0.003528612,60.9007077,1.50E-13,4.03E-11,Downregulated
DDB_G0280953,DDB_G0280953,0.001319795,-0.002247703,0.002987056,0.005434192,-0.000114456,0.001497146,-0.004306683,-0.005982925,0.011546658,60.88842083,1.51E-13,4.03E-11,Downregulated
DDB_G0270240,DDB_G0270240,-0.001520647,-0.027750554,0.049440603,0.063161229,0.001773514,0.028343531,-0.049562249,-0.06293833,0.000234082,60.55345947,1.62E-13,4.23E-11,Downregulated
DDB_G0277699,DDB_G0277699,8.44E-05,0.000987288,0.001916404,0.003199533,-6.17E-05,-0.000920247,-0.001834564,-0.003189122,0.001410423,60.41628044,1.66E-13,4.27E-11,Downregulated
DDB_G0268028,DDB_G0268028,6.90E-06,-5.56E-05,0.000232576,0.00032268,2.54E-06,5.97E-05,-0.000225111,-0.000318341,0.00687725,59.13456024,2.18E-13,5.48E-11,Downregulated
DDB_G0275535,DDB_G0275535,2.87E-06,-7.87E-05,0.000348036,0.00045532,2.87E-06,7.22E-05,-0.000299289,-0.000449405,0.000504103,58.94965065,2.27E-13,5.59E-11,Downregulated
DDB_G0273419,DDB_G0273419,0.001156067,-0.000212179,0.012873338,0.015164216,9.37E-05,0.000180897,-0.010178421,-0.015012193,0.004064646,58.46293584,2.52E-13,6.09E-11,Downregulated
DDB_G0268434,DDB_G0268434,1.83E-05,0.000361381,0.000256926,0.000361122,-1.29E-05,-0.000337999,-0.000216366,-0.000361934,0.001331091,57.9937946,2.79E-13,6.42E-11,Downregulated
DDB_G0281895,DDB_G0281895,0.000717778,0.002620437,0.002938751,0.006251008,-0.000230567,-0.002262286,-0.003223377,-0.005730133,0.000728341,58.02848908,2.77E-13,6.42E-11,Downregulated
DDB_G0292912,DDB_G0292912,-0.001061446,-0.018137315,0.043658503,0.058699574,0.001102847,0.018432797,-0.043685715,-0.058627835,0.001696174,57.9576455,2.81E-13,6.42E-11,Downregulated
DDB_G0280927,DDB_G0280927,0.000144442,0.000328231,0.002668401,0.003397181,-1.54E-05,-0.000269709,-0.002295136,-0.003348547,0.006565316,57.8877064,2.85E-13,6.42E-11,Downregulated
DDB_G0286663,DDB_G0286663,9.98E-05,-0.003622756,0.005430625,0.007409249,0.000141631,0.003575935,-0.005731199,-0.007447629,0.000905392,57.64682321,3.01E-13,6.65E-11,Downregulated
DDB_G0269116,DDB_G0269116,0.000234655,0.001796258,0.007243608,0.012472389,-0.000195932,-0.001566437,-0.007072098,-0.012346895,0.010262552,57.55891539,3.06E-13,6.66E-11,Downregulated
DDB_G0286413,DDB_G0286413,1.44E-05,0.00019201,0.000466851,0.000684251,-4.27E-06,-0.000154658,-0.000409604,-0.000642998,0.000989129,57.24190087,3.28E-13,7.02E-11,Downregulated
DDB_G0278717,DDB_G0278717,0.0007032,0.053573209,0.026697916,0.030365531,-0.001484491,-0.046352765,-0.018714233,-0.032287829,9.08E-05,56.86046443,3.57E-13,7.51E-11,Downregulated
DDB_G0289267,DDB_G0289267,1.93E-06,0.001271863,0.004598221,0.006284808,3.45E-05,-0.001129986,-0.004542428,-0.006258745,0.006494119,56.64963532,3.74E-13,7.74E-11,Downregulated
DDB_G0284683,DDB_G0284683,0.001548196,0.04871712,0.011161023,0.020591695,-0.001505645,-0.045318155,-0.010336512,-0.020223877,0.000474204,56.23655941,4.10E-13,8.35E-11,Downregulated
DDB_G0269132,DDB_G0269132,-6.68E-05,-0.001302735,0.003094489,0.004163571,7.49E-05,0.001343211,-0.003080964,-0.004148475,0.003316779,55.99644577,4.33E-13,8.61E-11,Downregulated
DDB_G0280019,DDB_G0280019,-0.000363099,-0.003979405,0.019567033,0.026245723,0.000414453,0.004320805,-0.019468787,-0.026130238,0.012988301,55.96129078,4.36E-13,8.61E-11,Downregulated
DDB_G0278421,DDB_G0278421,0.001865008,0.034632345,0.050509265,0.086182457,-0.001833384,-0.034184872,-0.050304738,-0.08602663,0.000205937,55.38559635,4.96E-13,9.65E-11,Downregulated
DDB_G0283935,DDB_G0283935,-4.79E-05,-0.000858722,0.001455149,0.001751479,6.33E-05,0.000907812,-0.001438176,-0.001732601,0.000313142,54.77888348,5.70E-13,1.09E-10,Downregulated
DDB_G0269730,DDB_G0269730,-1.21E-05,-0.000194514,0.001705068,0.002380518,2.02E-05,0.000208887,-0.001681097,-0.002368524,0.000231255,54.22710006,6.47E-13,1.22E-10,Downregulated
DDB_G0293286,DDB_G0293286,0.001733911,0.020003186,0.047838723,0.082195514,-0.001540113,-0.018195876,-0.04669795,-0.081399014,0.0118037,54.15598199,6.57E-13,1.22E-10,Downregulated
DDB_G0293082,DDB_G0293082,-6.20E-05,-0.001118688,0.001735385,0.002099689,7.19E-05,0.001129352,-0.001714525,-0.002099333,0.000126864,54.06653816,6.71E-13,1.23E-10,Downregulated
DDB_G0273045,DDB_G0273045,0.000833118,0.036314326,0.012615967,0.015964088,-0.00141372,-0.035628725,-0.006597397,-0.015887436,0.005950305,53.37902831,7.87E-13,1.42E-10,Downregulated
DDB_G0279643,DDB_G0279643,-5.76E-05,-0.001055351,0.001815055,0.002257884,6.75E-05,0.001077176,-0.001793211,-0.002251228,0.000254113,53.29300977,8.03E-13,1.43E-10,Downregulated
DDB_G0288331,DDB_G0288331,-0.00042926,-0.0057446,0.014886101,0.017886459,0.000472114,0.006229738,-0.014134065,-0.017507224,0.002385534,52.99187138,8.62E-13,1.51E-10,Downregulated
DDB_G0280949,DDB_G0280949,0.000445935,0.00445007,0.067435133,0.104036029,-0.000496048,-0.004190811,-0.066845989,-0.10420522,0.013469877,52.40315008,9.90E-13,1.72E-10,Downregulated
DDB_G0291291,DDB_G0291291,-1.75E-05,-0.001769164,0.010617788,0.015987424,3.04E-05,0.00189347,-0.010583802,-0.015963414,0.00191885,52.32609369,1.01E-12,1.73E-10,Downregulated
DDB_G0290291,DDB_G0290291,0.000157383,0.000494783,0.002696264,0.00361143,-5.56E-05,-0.000525738,-0.002250503,-0.003596298,0.013775319,52.1652201,1.05E-12,1.73E-10,Downregulated
DDB_G0269674,DDB_G0269674,0.000304388,0.00104249,0.018460341,0.030290655,-0.000280068,-0.000830238,-0.018439514,-0.030226342,0.003789717,52.17621901,1.05E-12,1.73E-10,Downregulated
DDB_G0288063,DDB_G0288063,0.002223673,0.02072511,0.057714568,0.103203483,-0.002102885,-0.020072872,-0.05742393,-0.10295914,0.000746056,52.14261486,1.05E-12,1.73E-10,Downregulated
DDB_G0280997,DDB_G0280997,-3.99E-05,-0.000773193,0.001424337,0.00178607,4.69E-05,0.000774006,-0.001382661,-0.001787046,0.00181401,50.75482714,1.47E-12,2.39E-10,Downregulated
DDB_G0282635,DDB_G0282635,-4.22E-05,-0.000766792,0.001329614,0.001647875,5.43E-05,0.000759516,-0.00132309,-0.001657051,0.000207712,50.59084286,1.53E-12,2.46E-10,Downregulated
DDB_G0281295,DDB_G0281295,0.001036827,0.000118957,0.005447783,0.010123046,-0.000172305,-0.00038019,-0.006492755,-0.010431659,0.019903462,50.17865701,1.70E-12,2.69E-10,Downregulated
DDB_G0269998,DDB_G0269998,3.92E-06,7.66E-07,0.000342236,0.000464842,6.93E-06,1.29E-05,-0.000332306,-0.000458517,7.44E-05,50.05263466,1.75E-12,2.74E-10,Downregulated
DDB_G0272464,DDB_G0272464,7.61E-06,-1.76E-05,0.000165118,0.000210807,2.36E-06,3.27E-05,-0.000157723,-0.00021266,0.000185865,49.85710022,1.84E-12,2.84E-10,Downregulated
DDB_G0292224,DDB_G0292224,0.000640458,-0.006894544,0.104311358,0.164215592,-0.000554057,0.007723435,-0.104337157,-0.163963622,0.000746659,48.39278753,2.65E-12,3.91E-10,Downregulated
DDB_G0271930,DDB_G0271930,0.032775857,0.355127277,0.61538526,1.17255262,-0.032239024,-0.348542935,-0.615317331,-1.170990871,5.98E-05,48.49208125,2.58E-12,3.91E-10,Downregulated
DDB_G0290309,DDB_G0290309,0.000313576,0.001702637,0.001519189,0.002616818,1.83E-05,-0.001241731,-0.001590445,-0.002305082,4.06E-05,48.4084005,2.64E-12,3.91E-10,Downregulated
DDB_G0277141,DDB_G0277141,0.009920908,-0.018753231,0.01719052,0.022555489,2.46E-05,0.008354031,-0.019890385,-0.02789875,0.159965471,48.40958943,2.64E-12,3.91E-10,Downregulated
DDB_G0280543,DDB_G0280543,0.010443157,-0.007277666,-0.015983288,-0.005459502,-0.00961898,0.006732284,0.015016057,0.005167901,0.002109797,47.76026978,3.12E-12,4.44E-10,Downregulated
DDB_G0268248,DDB_G0268248,-6.74E-05,-0.001595761,0.003629475,0.00466684,9.92E-05,0.001600436,-0.0035212,-0.004676917,0.000122883,47.80232409,3.08E-12,4.44E-10,Downregulated
DDB_G0270878,DDB_G0270878,-8.87E-05,-0.001452707,0.002759429,0.003469121,9.99E-05,0.001465716,-0.002755097,-0.003464626,0.000414745,47.84360004,3.05E-12,4.44E-10,Downregulated
DDB_G0277535,DDB_G0277535,0.000470975,0.016501365,0.003389631,0.005629124,-0.000424176,-0.015377316,-0.002836482,-0.005039167,0.010749271,47.70491408,3.16E-12,4.46E-10,Downregulated
DDB_G0279795,DDB_G0279795,0.016265694,0.005071622,-0.000683471,0.035788895,0.000914818,0.003355637,-0.02311193,-0.032596457,0.000578326,47.14082614,3.66E-12,5.10E-10,Downregulated
DDB_G0272929,DDB_G0272929,3.77E-06,-0.000278884,0.000695944,0.000966607,1.51E-05,0.000290608,-0.000709209,-0.000966914,0.002159022,46.98173464,3.81E-12,5.26E-10,Downregulated
