row_IDs,X,b_0,b_1,b_2,b_3,d_0,d_1,d_2,d_3,AveExpr,F,P.Value,adj.P.Val,Regulation
DDB_G0273691,DDB_G0273691,9.15E-06,9.00E-06,5.58E-06,8.44E-07,-2.11E-06,-2.29E-06,3.63E-06,4.33E-06,1.16E-05,0.079591067,0.987969893,0.995866648,Downregulated
DDB_G0288049,DDB_G0288049,4.40E-06,9.04E-06,1.53E-05,2.66E-06,1.77E-06,-1.60E-06,-2.17E-06,4.32E-06,1.27E-05,0.080469148,0.987719009,0.995866648,Downregulated
DDB_G0271330,DDB_G0271330,7.23E-06,5.47E-06,7.72E-06,-2.22E-06,-2.30E-06,1.13E-06,6.79E-06,4.88E-06,1.21E-05,0.079122606,0.988102817,0.995866648,Downregulated
DDB_G0268342,DDB_G0268342,8.70E-06,1.43E-06,7.86E-06,-1.92E-06,-1.98E-06,5.19E-06,5.25E-07,3.92E-06,1.11E-05,0.079184831,0.988085198,0.995866648,Downregulated
DDB_G0294206,DDB_G0294206,7.92E-06,5.60E-06,1.07E-05,-1.02E-06,-1.76E-06,4.55E-06,4.39E-06,5.52E-06,1.15E-05,0.077189142,0.988644588,0.996288164,Downregulated
DDB_G0275219,DDB_G0275219,7.55E-06,9.25E-06,1.07E-05,2.48E-07,-5.51E-07,-3.56E-06,3.35E-07,4.21E-06,1.15E-05,0.077074411,0.988676389,0.996288164,Downregulated
DDB_G0267334,DDB_G0267334,7.84E-06,1.11E-05,8.67E-06,2.04E-06,-1.79E-06,4.36E-06,3.23E-06,5.27E-06,1.13E-05,0.075422053,0.98913004,0.996305683,Downregulated
DDB_G0277365,DDB_G0277365,5.62E-06,3.75E-06,2.23E-05,2.64E-06,2.13E-06,4.11E-06,-1.03E-05,1.82E-06,1.77E-05,0.076036979,0.988962165,0.996305683,Upregulated
DDB_G0286595,DDB_G0286595,7.05E-06,3.94E-06,1.26E-05,3.97E-06,-1.31E-06,4.61E-06,5.29E-06,3.23E-06,1.27E-05,0.075564759,0.989091182,0.996305683,Downregulated
DDB_G0273497,DDB_G0273497,1.20E-05,4.56E-05,3.14E-06,1.42E-05,-5.22E-06,-6.37E-06,1.00E-05,-1.25E-05,1.13E-05,0.075312577,0.989159809,0.996305683,Downregulated
DDB_G0273771,DDB_G0273771,1.46E-05,2.61E-05,6.25E-05,7.46E-06,6.69E-06,-2.51E-05,3.94E-06,-5.26E-06,1.21E-05,0.075888448,0.989002817,0.996305683,Downregulated
DDB_G0273827,DDB_G0273827,0.002209732,0.010158642,0.025702343,-0.004509986,-0.001101725,0.001375921,0.003942552,0.002893996,1.10E-05,0.076097564,0.988945564,0.996305683,Upregulated
DDB_G0273715,DDB_G0273715,1.53E-05,-8.66E-07,3.90E-05,-6.53E-06,-2.30E-06,6.39E-06,5.36E-06,9.93E-06,1.25E-05,0.074319991,0.98942807,0.996419396,Downregulated
DDB_G0281107,DDB_G0281107,7.67E-06,1.05E-05,9.61E-06,2.01E-06,-3.99E-07,9.80E-07,-1.78E-06,5.09E-06,1.11E-05,0.074601211,0.989352366,0.996419396,Downregulated
DDB_G0292372,DDB_G0292372,8.24E-06,1.32E-05,1.26E-05,2.22E-06,-3.42E-06,-4.92E-06,7.13E-06,1.13E-06,1.14E-05,0.072893788,0.989808327,0.996602385,Downregulated
DDB_G0293490,DDB_G0293490,9.13E-06,2.19E-05,1.16E-05,7.84E-07,-5.86E-06,-6.91E-07,1.65E-05,-2.37E-06,1.19E-05,0.072753158,0.989845489,0.996602385,Downregulated
